Year,Units,экология,Value
2016,пайыз,Экологиялық талаптар мен санитарлық нормаларға сәйкес келетін полигондардың үлесі,15.0
2017,пайыз,Экологиялық талаптар мен санитарлық нормаларға сәйкес келетін полигондардың үлесі,16.0
2018,пайыз,Экологиялық талаптар мен санитарлық нормаларға сәйкес келетін полигондардың үлесі,17.5
