Year,Units,Өңірлер,Value
2010,тыс.га,,13.168897245879881
2010,тыс.га,Ақмола,571.6
2010,тыс.га,Ақтөбе,2582.5
2010,тыс.га,Алматы,5767.9
2010,тыс.га,Атырау,3133.9
2010,тыс.га,Батыс Қазақстан,1875.9
2010,тыс.га,Жамбыл,2636.7
2010,тыс.га,Қарағанды,960.1
2010,тыс.га,Қостанай,769.9
2010,тыс.га,Қызылорда,2849.6
2010,тыс.га,Маңғыстау,1456.3
2010,тыс.га,Павлодар,1297.2
2010,тыс.га,Солтүстік Қазақстан,56.0
2010,тыс.га,Түркістан,4066.6
2010,тыс.га,Шығыс Қазақстан,1292.6
2010,тыс.га,Алматы қаласы,0.1
2010,тыс.га,Шымкент қаласы,23.2
2011,тыс.га,,21.991983967935877
2011,тыс.га,Ақмола,571.6
2011,тыс.га,Ақтөбе,2582.5
2011,тыс.га,Алматы,5767.9
2011,тыс.га,Атырау,3133.9
2011,тыс.га,Батыс Қазақстан,1875.9
2011,тыс.га,Жамбыл,2636.7
2011,тыс.га,Қарағанды,960.1
2011,тыс.га,Қостанай,769.9
2011,тыс.га,Қызылорда,2849.6
2011,тыс.га,Маңғыстау,1456.3
2011,тыс.га,Павлодар,1297.2
2011,тыс.га,Солтүстік Қазақстан,56.0
2011,тыс.га,Түркістан,4066.6
2011,тыс.га,Шығыс Қазақстан,1292.6
2011,тыс.га,Алматы қаласы,0.1
2011,тыс.га,Шымкент қаласы,23.2
2012,тыс.га,,27.274929864830398
2012,тыс.га,Ақмола,571.6
2012,тыс.га,Ақтөбе,2582.5
2012,тыс.га,Алматы,5767.9
2012,тыс.га,Атырау,3133.9
2012,тыс.га,Батыс Қазақстан,1875.9
2012,тыс.га,Жамбыл,2636.7
2012,тыс.га,Қарағанды,960.1
2012,тыс.га,Қостанай,769.9
2012,тыс.га,Қызылорда,2849.6
2012,тыс.га,Маңғыстау,1456.3
2012,тыс.га,Павлодар,1297.2
2012,тыс.га,Солтүстік Қазақстан,56.0
2012,тыс.га,Түркістан,4066.6
2012,тыс.га,Шығыс Қазақстан,1292.6
2012,тыс.га,Алматы қаласы,0.1
2012,тыс.га,Шымкент қаласы,23.2
2013,тыс.га,,17.15395157606213
2013,тыс.га,Ақмола,571.6
2013,тыс.га,Ақтөбе,2582.5
2013,тыс.га,Алматы,5767.9
2013,тыс.га,Атырау,3133.9
2013,тыс.га,Батыс Қазақстан,1875.9
2013,тыс.га,Жамбыл,2636.7
2013,тыс.га,Қарағанды,960.1
2013,тыс.га,Қостанай,769.9
