Year,Units,Қорғалатын түрлер,Value
2010,бірлік,тоғай кермаралы,418.0
2011,бірлік,тоғай кермаралы,421.0
2012,бірлік,тоғай кермаралы,451.0
2013,бірлік,тоғай кермаралы,465.0
2014,бірлік,тоғай кермаралы,481.0
2015,бірлік,тоғай кермаралы,503.0
2016,бірлік,тоғай кермаралы,716.0
2017,бірлік,тоғай кермаралы,825.0
2018,бірлік,тоғай кермаралы,856.0
2010,бірлік,Қарақұйрық,16154.0
2011,бірлік,Қарақұйрық,1210.0
2012,бірлік,Қарақұйрық,1263.0
2013,бірлік,Қарақұйрық,12888.0
2014,бірлік,Қарақұйрық,12994.0
2015,бірлік,Қарақұйрық,13197.0
2016,бірлік,Қарақұйрық,13218.0
2017,бірлік,Қарақұйрық,13727.0
2018,бірлік,Қарақұйрық,14055.0
2010,бірлік,Құлан,2477.0
2011,бірлік,Құлан,2500.0
2012,бірлік,Құлан,2920.0
2013,бірлік,Құлан,3222.0
2014,бірлік,Құлан,3420.0
2015,бірлік,Құлан,3595.0
2016,бірлік,Құлан,3807.0
2017,бірлік,Құлан,3984.0
2018,бірлік,Құлан,4103.0
2010,бірлік,Арқар,13246.0
2011,бірлік,Арқар,13597.0
2012,бірлік,Арқар,13872.0
2013,бірлік,Арқар,14525.0
2014,бірлік,Арқар,14737.0
2015,бірлік,Арқар,15710.0
2016,бірлік,Арқар,15979.0
2017,бірлік,Арқар,16802.0
2018,бірлік,Арқар,16980.0
