Year,Units,Өңірлер,GeoCode,Value
2010,пайыз,,,109.1
2011,пайыз,,,112.1
2012,пайыз,,,102.8
2013,пайыз,,,102.1
2014,пайыз,,,103.8
2015,пайыз,,,97.3
2016,пайыз,,,99.0
2017,пайыз,,,103.6
2018,пайыз,,,104.7
2011,пайыз,Ақмола,KZ03,111.5
2012,пайыз,Ақмола,KZ03,103.7
2013,пайыз,Ақмола,KZ03,97.6
2014,пайыз,Ақмола,KZ03,113.2
2015,пайыз,Ақмола,KZ03,107.8
2016,пайыз,Ақмола,KZ03,98.4
2017,пайыз,Ақмола,KZ03,102.0
2018,пайыз,Ақмола,KZ03,105.7
2011,пайыз,Ақтөбе,KZ04,107.7
2012,пайыз,Ақтөбе,KZ04,100.0
2013,пайыз,Ақтөбе,KZ04,101.9
2014,пайыз,Ақтөбе,KZ04,93.0
2015,пайыз,Ақтөбе,KZ04,99.7
2016,пайыз,Ақтөбе,KZ04,101.4
2017,пайыз,Ақтөбе,KZ04,108.7
2018,пайыз,Ақтөбе,KZ04,108.4
2011,пайыз,Алматы,KZ01,124.8
2012,пайыз,Алматы,KZ01,100.0
2013,пайыз,Алматы,KZ01,104.5
2014,пайыз,Алматы,KZ01,87.1
2015,пайыз,Алматы,KZ01,97.2
2016,пайыз,Алматы,KZ01,93.7
2017,пайыз,Алматы,KZ01,84.8
2018,пайыз,Алматы,KZ01,106.9
2011,пайыз,Атырау,KZ06,99.1
2012,пайыз,Атырау,KZ06,63.5
2013,пайыз,Атырау,KZ06,93.1
2014,пайыз,Атырау,KZ06,159.2
2015,пайыз,Атырау,KZ06,70.8
2016,пайыз,Атырау,KZ06,125.3
2017,пайыз,Атырау,KZ06,111.7
2018,пайыз,Атырау,KZ06,106.9
2011,пайыз,Батыс Қазақстан,KZ07,108.7
2012,пайыз,Батыс Қазақстан,KZ07,98.0
2013,пайыз,Батыс Қазақстан,KZ07,108.3
2014,пайыз,Батыс Қазақстан,KZ07,89.2
2015,пайыз,Батыс Қазақстан,KZ07,76.4
2016,пайыз,Батыс Қазақстан,KZ07,87.3
2017,пайыз,Батыс Қазақстан,KZ07,104.8
2018,пайыз,Батыс Қазақстан,KZ07,112.1
2011,пайыз,Жамбыл,KZ17,127.3
2012,пайыз,Жамбыл,KZ17,94.3
2013,пайыз,Жамбыл,KZ17,139.5
2014,пайыз,Жамбыл,KZ17,116.4
2015,пайыз,Жамбыл,KZ17,89.3
2016,пайыз,Жамбыл,KZ17,90.3
2017,пайыз,Жамбыл,KZ17,78.1
2018,пайыз,Жамбыл,KZ17,105.8
2011,пайыз,Қарағанды,KZ12,110.0
2012,пайыз,Қарағанды,KZ12,100.0
2013,пайыз,Қарағанды,KZ12,102.8
2014,пайыз,Қарағанды,KZ12,116.5
2015,пайыз,Қарағанды,KZ12,112.6
2016,пайыз,Қарағанды,KZ12,112.0
2017,пайыз,Қарағанды,KZ12,105.5
2018,пайыз,Қарағанды,KZ12,100.8
2011,пайыз,Қостанай,KZ13,97.2
2012,пайыз,Қостанай,KZ13,100.0
2013,пайыз,Қостанай,KZ13,107.9
2014,пайыз,Қостанай,KZ13,114.1
2015,пайыз,Қостанай,KZ13,87.8
2016,пайыз,Қостанай,KZ13,104.4
2017,пайыз,Қостанай,KZ13,103.2
2018,пайыз,Қостанай,KZ13,103.2
2011,пайыз,Қызылорда,KZ14,100.0
2012,пайыз,Қызылорда,KZ14,132.4
2013,пайыз,Қызылорда,KZ14,151.4
2014,пайыз,Қызылорда,KZ14,87.2
2015,пайыз,Қызылорда,KZ14,107.5
2016,пайыз,Қызылорда,KZ14,90.7
2017,пайыз,Қызылорда,KZ14,111.3
2018,пайыз,Қызылорда,KZ14,98.6
2011,пайыз,Маңғыстау,KZ09,66.8
2012,пайыз,Маңғыстау,KZ09,100.0
2013,пайыз,Маңғыстау,KZ09,127.1
2014,пайыз,Маңғыстау,KZ09,113.5
2015,пайыз,Маңғыстау,KZ09,69.3
2016,пайыз,Маңғыстау,KZ09,100.5
2017,пайыз,Маңғыстау,KZ09,122.2
2018,пайыз,Маңғыстау,KZ09,106.0
2011,пайыз,Оңтүстік Қазақстан,KZ10,121.5
2012,пайыз,Оңтүстік Қазақстан,KZ10,104.2
2013,пайыз,Оңтүстік Қазақстан,KZ10,88.8
2014,пайыз,Оңтүстік Қазақстан,KZ10,69.0
2015,пайыз,Оңтүстік Қазақстан,KZ10,128.6
