Year,Units,ТЖ келтірілген залал сомасы,Өңірлер,GeoCode,Value
2010,мың теңге,табиғи сипаттағы,,,1249382.0
2011,мың теңге,табиғи сипаттағы,,,325575.2
2012,мың теңге,табиғи сипаттағы,,,1238491.2
2013,мың теңге,табиғи сипаттағы,,,1746756.9
2014,мың теңге,табиғи сипаттағы,,,1261462.2
2015,мың теңге,табиғи сипаттағы,,,4355867.8
2016,мың теңге,табиғи сипаттағы,,,385186.0
2017,мың теңге,табиғи сипаттағы,,,1418993.5
2018,мың теңге,табиғи сипаттағы,,,615711.8
2010,мың теңге,табиғи сипаттағы,Ақмола,,20000.0
2011,мың теңге,табиғи сипаттағы,Ақмола,,578.3
2012,мың теңге,табиғи сипаттағы,Ақмола,,7579.2
2013,мың теңге,табиғи сипаттағы,Ақмола,,56392.5
2014,мың теңге,табиғи сипаттағы,Ақмола,,34045.1
2015,мың теңге,табиғи сипаттағы,Ақмола,,14285.0
2016,мың теңге,табиғи сипаттағы,Ақмола,,41496.0
2017,мың теңге,табиғи сипаттағы,Ақмола,,126663.1
2018,мың теңге,табиғи сипаттағы,Ақмола,,143191.2
2010,мың теңге,табиғи сипаттағы,Ақтөбе,,5055.0
2011,мың теңге,табиғи сипаттағы,Ақтөбе,,0.0
2012,мың теңге,табиғи сипаттағы,Ақтөбе,,2000.0
2013,мың теңге,табиғи сипаттағы,Ақтөбе,,2000.0
2014,мың теңге,табиғи сипаттағы,Ақтөбе,,5000.0
2015,мың теңге,табиғи сипаттағы,Ақтөбе,,0.0
2016,мың теңге,табиғи сипаттағы,Ақтөбе,,13704.8
2017,мың теңге,табиғи сипаттағы,Ақтөбе,,315259.9
2018,мың теңге,табиғи сипаттағы,Ақтөбе,,34530.4
2010,мың теңге,табиғи сипаттағы,Алматы,,900.0
2011,мың теңге,табиғи сипаттағы,Алматы,,280.0
2012,мың теңге,табиғи сипаттағы,Алматы,,867.0
2013,мың теңге,табиғи сипаттағы,Алматы,,1363000.0
2014,мың теңге,табиғи сипаттағы,Алматы,,6.0
2015,мың теңге,табиғи сипаттағы,Алматы,,124.0
2016,мың теңге,табиғи сипаттағы,Алматы,,1373.0
2017,мың теңге,табиғи сипаттағы,Алматы,,9453.0
2018,мың теңге,табиғи сипаттағы,Алматы,,494.0
2010,мың теңге,табиғи сипаттағы,Атырау,,0.0
2011,мың теңге,табиғи сипаттағы,Атырау,,0.0
2012,мың теңге,табиғи сипаттағы,Атырау,,0.0
2013,мың теңге,табиғи сипаттағы,Атырау,,0.0
2014,мың теңге,табиғи сипаттағы,Атырау,,50686.2
2015,мың теңге,табиғи сипаттағы,Атырау,,103683.7
2016,мың теңге,табиғи сипаттағы,Атырау,,99505.4
2017,мың теңге,табиғи сипаттағы,Атырау,,4589.4
2017,мың теңге,табиғи сипаттағы,Атырау,,0.0
2010,мың теңге,табиғи сипаттағы,Батыс Қазақстан,,0.0
2011,мың теңге,табиғи сипаттағы,Батыс Қазақстан,,0.0
2012,мың теңге,табиғи сипаттағы,Батыс Қазақстан,,0.0
2013,мың теңге,табиғи сипаттағы,Батыс Қазақстан,,0.0
2014,мың теңге,табиғи сипаттағы,Батыс Қазақстан,,64357.8
2015,мың теңге,табиғи сипаттағы,Батыс Қазақстан,,103906.8
2016,мың теңге,табиғи сипаттағы,Батыс Қазақстан,,0.0
2017,мың теңге,табиғи сипаттағы,Батыс Қазақстан,,77420.2
2018,мың теңге,табиғи сипаттағы,Батыс Қазақстан,,0.0
2010,мың теңге,табиғи сипаттағы,Жамбыл,,60.8
2011,мың теңге,табиғи сипаттағы,Жамбыл,,64.9
2012,мың теңге,табиғи сипаттағы,Жамбыл,,55.5
2013,мың теңге,табиғи сипаттағы,Жамбыл,,59.3
2014,мың теңге,табиғи сипаттағы,Жамбыл,,1688.0
2015,мың теңге,табиғи сипаттағы,Жамбыл,,880.1
2016,мың теңге,табиғи сипаттағы,Жамбыл,,924.3
2017,мың теңге,табиғи сипаттағы,Жамбыл,,9550.5
2018,мың теңге,табиғи сипаттағы,Жамбыл,,74732.9
2010,мың теңге,табиғи сипаттағы,Қарағанды,,11256.0
2011,мың теңге,табиғи сипаттағы,Қарағанды,,0.0
2012,мың теңге,табиғи сипаттағы,Қарағанды,,74.0
2013,мың теңге,табиғи сипаттағы,Қарағанды,,3500.0
2014,мың теңге,табиғи сипаттағы,Қарағанды,,473900.0
2015,мың теңге,табиғи сипаттағы,Қарағанды,,3765009.8
2016,мың теңге,табиғи сипаттағы,Қарағанды,,12260.0
2017,мың теңге,табиғи сипаттағы,Қарағанды,,162781.3
2018,мың теңге,табиғи сипаттағы,Қарағанды,,21980.6
2010,мың теңге,табиғи сипаттағы,Қостанай,,20900.0
2011,мың теңге,табиғи сипаттағы,Қостанай,,0.0
2012,мың теңге,табиғи сипаттағы,Қостанай,,20400.0
2013,мың теңге,табиғи сипаттағы,Қостанай,,36800.0
2014,мың теңге,табиғи сипаттағы,Қостанай,,1200.0
2015,мың теңге,табиғи сипаттағы,Қостанай,,0.0
2016,мың теңге,табиғи сипаттағы,Қостанай,,26500.0
2017,мың теңге,табиғи сипаттағы,Қостанай,,27200.0
2018,мың теңге,табиғи сипаттағы,Қостанай,,48704.0
2010,мың теңге,табиғи сипаттағы,Қызылорда,,4400.0
2011,мың теңге,табиғи сипаттағы,Қызылорда,,4500.0
2012,мың теңге,табиғи сипаттағы,Қызылорда,,9700.0
2013,мың теңге,табиғи сипаттағы,Қызылорда,,93800.0
2014,мың теңге,табиғи сипаттағы,Қызылорда,,30886.0
2015,мың теңге,табиғи сипаттағы,Қызылорда,,35182.0
2016,мың теңге,табиғи сипаттағы,Қызылорда,,60604.0
2017,мың теңге,табиғи сипаттағы,Қызылорда,,72418.0
2018,мың теңге,табиғи сипаттағы,Қызылорда,,60881.0
2010,мың теңге,табиғи сипаттағы,Маңғыстау,,44918.2
2011,мың теңге,табиғи сипаттағы,Маңғыстау,,120853.4
2012,мың теңге,табиғи сипаттағы,Маңғыстау,,34652.9
2013,мың теңге,табиғи сипаттағы,Маңғыстау,,0.0
2014,мың теңге,табиғи сипаттағы,Маңғыстау,,0.0
2015,мың теңге,табиғи сипаттағы,Маңғыстау,,10332.2
2016,мың теңге,табиғи сипаттағы,Маңғыстау,,0.0
2017,мың теңге,табиғи сипаттағы,Маңғыстау,,0.0
2018,мың теңге,табиғи сипаттағы,Маңғыстау,,0.0
2010,мың теңге,табиғи сипаттағы,Павлодар,,75492.0
2011,мың теңге,табиғи сипаттағы,Павлодар,,91298.6
2012,мың теңге,табиғи сипаттағы,Павлодар,,76462.6
2013,мың теңге,табиғи сипаттағы,Павлодар,,138605.1
2014,мың теңге,табиғи сипаттағы,Павлодар,,41893.1
2015,мың теңге,табиғи сипаттағы,Павлодар,,71709.1
2016,мың теңге,табиғи сипаттағы,Павлодар,,38518.5
2017,мың теңге,табиғи сипаттағы,Павлодар,,503358.1
2018,мың теңге,табиғи сипаттағы,Павлодар,,42217.7
2010,мың теңге,табиғи сипаттағы,Солтүстік Қазақстан,,0.0
2011,мың теңге,табиғи сипаттағы,Солтүстік Қазақстан,,0.0
2012,мың теңге,табиғи сипаттағы,Солтүстік Қазақстан,,0.0
2013,мың теңге,табиғи сипаттағы,Солтүстік Қазақстан,,0.0
2014,мың теңге,табиғи сипаттағы,Солтүстік Қазақстан,,0.0
2015,мың теңге,табиғи сипаттағы,Солтүстік Қазақстан,,0.1
2016,мың теңге,табиғи сипаттағы,Солтүстік Қазақстан,,0.0
2017,мың теңге,табиғи сипаттағы,Солтүстік Қазақстан,,2600.0
2018,мың теңге,табиғи сипаттағы,Солтүстік Қазақстан,,1500.0
2010,мың теңге,табиғи сипаттағы,Түркістан,,61300.0
2011,мың теңге,табиғи сипаттағы,Түркістан,,0.0
2012,мың теңге,табиғи сипаттағы,Түркістан,,977400.0
2013,мың теңге,табиғи сипаттағы,Түркістан,,0.0
2014,мың теңге,табиғи сипаттағы,Түркістан,,0.0
2015,мың теңге,табиғи сипаттағы,Түркістан,,0.0
2016,мың теңге,табиғи сипаттағы,Түркістан,,0.0
2017,мың теңге,табиғи сипаттағы,Түркістан,,100.0
2018,мың теңге,табиғи сипаттағы,Түркістан,,0.0
2010,мың теңге,табиғи сипаттағы,Шығыс Қазақстан,,1005100.0
2011,мың теңге,табиғи сипаттағы,Шығыс Қазақстан,,108000.0
2012,мың теңге,табиғи сипаттағы,Шығыс Қазақстан,,109300.0
2013,мың теңге,табиғи сипаттағы,Шығыс Қазақстан,,52600.0
2014,мың теңге,табиғи сипаттағы,Шығыс Қазақстан,,56600.0
2015,мың теңге,табиғи сипаттағы,Шығыс Қазақстан,,220900.0
2016,мың теңге,табиғи сипаттағы,Шығыс Қазақстан,,90300.0
2017,мың теңге,табиғи сипаттағы,Шығыс Қазақстан,,107600.0
2018,мың теңге,табиғи сипаттағы,Шығыс Қазақстан,,187480.0
2010,мың теңге,табиғи сипаттағы,Нұр-Сұлтан қаласы,,0.0
2011,мың теңге,табиғи сипаттағы,Нұр-Сұлтан қаласы,,0.0
2012,мың теңге,табиғи сипаттағы,Нұр-Сұлтан қаласы,,0.0
2013,мың теңге,табиғи сипаттағы,Нұр-Сұлтан қаласы,,0.0
2014,мың теңге,табиғи сипаттағы,Нұр-Сұлтан қаласы,,0.0
2015,мың теңге,табиғи сипаттағы,Нұр-Сұлтан қаласы,,4855.0
2016,мың теңге,табиғи сипаттағы,Нұр-Сұлтан қаласы,,0.0
2017,мың теңге,табиғи сипаттағы,Нұр-Сұлтан қаласы,,0.0
