Year,Units,Өңірлер,Value
2015,пайыз,,30.0
2016,пайыз,,44.7
2017,пайыз,,55.0
2018,пайыз,,60.0
2017,пайыз,Ақмола,58.2
2018,пайыз,Ақмола,59.6
2017,пайыз,Ақтөбе,38.2
2018,пайыз,Ақтөбе,60.2
2017,пайыз,Алматы,36.0
2018,пайыз,Алматы,43.3
2017,пайыз,Атырау,52.3
2018,пайыз,Атырау,60.6
2017,пайыз,Батыс Қазақстан,52.1
2018,пайыз,Батыс Қазақстан,71.8
2017,пайыз,Жамбыл,53.3
2018,пайыз,Жамбыл,62.2
2017,пайыз,Қарағанды,48.2
2018,пайыз,Қарағанды,55.1
2017,пайыз,Қостанай,59.7
2018,пайыз,Қостанай,59.6
2017,пайыз,Қызылорда,40.3
2018,пайыз,Қызылорда,46.4
2017,пайыз,Маңғыстау,47.0
2018,пайыз,Маңғыстау,59.9
2017,пайыз,Оңтүстік Қазақстан,64.5
2017,пайыз,Павлодар,60.8
2018,пайыз,Павлодар,60.2
2017,пайыз,Солтүстік Қазақстан,61.0
2018,пайыз,Солтүстік Қазақстан,61.0
2018,пайыз,Түркістан,63.4
2017,пайыз,Шығыс Қазақстан,56.9
2018,пайыз,Шығыс Қазақстан,58.9
2017,пайыз,Нұр-Сұлтан қаласы,88.1
2018,пайыз,Нұр-Сұлтан қаласы,88.2
2017,пайыз,Алматы қаласы,100.0
2018,пайыз,Алматы қаласы,99.5
2018,пайыз,Шымкент қаласы,63.4
