Year,Units,РМ бөлшектердің түрі,Өңірлер,Қала,GeoCode,Value
2016,мг/текше метр,"Қалқымалы бөлшектер РМ-2,5",Нұр-Сұлтан қаласы,,,0.02
2017,мг/текше метр,"Қалқымалы бөлшектер РМ-2,5",Нұр-Сұлтан қаласы,,,0.02
2018,мг/текше метр,"Қалқымалы бөлшектер РМ-2,5",Нұр-Сұлтан қаласы,,,0.02
2016,мг/текше метр,"Қалқымалы бөлшектер РМ-2,5",,Көкшетау,,0.002
2017,мг/текше метр,"Қалқымалы бөлшектер РМ-2,5",,Көкшетау,,0.002
2018,мг/текше метр,"Қалқымалы бөлшектер РМ-2,5",,Көкшетау,,0.0023
2015,мг/текше метр,"Қалқымалы бөлшектер РМ-2,5",,Степногорск,,0.006
2016,мг/текше метр,"Қалқымалы бөлшектер РМ-2,5",,Степногорск,,0.006
2017,мг/текше метр,"Қалқымалы бөлшектер РМ-2,5",,Степногорск,,0.002
2014,мг/текше метр,"Қалқымалы бөлшектер РМ-2,5",,«Бурабай» МКҚК,,0.0648
2015,мг/текше метр,"Қалқымалы бөлшектер РМ-2,5",,«Бурабай» МКҚК,,0.026000000000000002
2016,мг/текше метр,"Қалқымалы бөлшектер РМ-2,5",,«Бурабай» МКҚК,,0.02
2017,мг/текше метр,"Қалқымалы бөлшектер РМ-2,5",,«Бурабай» МКҚК,,0.02
2018,мг/текше метр,"Қалқымалы бөлшектер РМ-2,5",,«Бурабай» МКҚК,,0.048
2014,мг/текше метр,"Қалқымалы бөлшектер РМ-2,5",,ЩБКЗ,,0.0549
2015,мг/текше метр,"Қалқымалы бөлшектер РМ-2,5",,ЩБКЗ,,0.07400000000000001
2016,мг/текше метр,"Қалқымалы бөлшектер РМ-2,5",,ЩБКЗ,,0.03
2017,мг/текше метр,"Қалқымалы бөлшектер РМ-2,5",,ЩБКЗ,,0.02
2018,мг/текше метр,"Қалқымалы бөлшектер РМ-2,5",,ЩБКЗ,,0.02
2016,мг/текше метр,"Қалқымалы бөлшектер РМ-2,5",,Сарыбұлақ кенті,,0.01
2017,мг/текше метр,"Қалқымалы бөлшектер РМ-2,5",,Сарыбұлақ кенті,,0.01
2018,мг/текше метр,"Қалқымалы бөлшектер РМ-2,5",,Сарыбұлақ кенті,,0.01
2015,мг/текше метр,"Қалқымалы бөлшектер РМ-2,5",,Ақтөбе,,0.018000000000000002
2016,мг/текше метр,"Қалқымалы бөлшектер РМ-2,5",,Ақтөбе,,0.02
2017,мг/текше метр,"Қалқымалы бөлшектер РМ-2,5",,Ақтөбе,,0.02
2018,мг/текше метр,"Қалқымалы бөлшектер РМ-2,5",,Ақтөбе,,0.017
2016,мг/текше метр,"Қалқымалы бөлшектер РМ-2,5",Алматы қаласы,,,0.02
2017,мг/текше метр,"Қалқымалы бөлшектер РМ-2,5",Алматы қаласы,,,0.009000000000000001
2018,мг/текше метр,"Қалқымалы бөлшектер РМ-2,5",Алматы қаласы,,,0.015
2015,мг/текше метр,,,Атырау,,0.013999999999999999
2016,мг/текше метр,,,Атырау,,0.003
2017,мг/текше метр,,,Атырау,,0.01
2018,мг/текше метр,,,Атырау,,0.01
2015,мг/текше метр,,,Семей,,0.024
2016,мг/текше метр,,,Семей,,0.035
2017,мг/текше метр,,,Семей,,0.03
2018,мг/текше метр,,,Семей,,0.025
2015,мг/текше метр,,,Глубокое кенті,,0.0175
2016,мг/текше метр,,,Глубокое кенті,,0.0398
2017,мг/текше метр,,,Глубокое кенті,,0.019
2018,мг/текше метр,,,Глубокое кенті,,0.0328
2016,мг/текше метр,,,Зыряновск,,0.0003
2017,мг/текше метр,,,Зыряновск,,0.01
2018,мг/текше метр,,,Зыряновск,,1e-05
2015,мг/текше метр,,,Жаңатас,,0.011000000000000001
2016,мг/текше метр,,,Жаңатас,,0.01
2017,мг/текше метр,,,Жаңатас,,0.01
2018,мг/текше метр,,,Жаңатас,,0.017
2015,мг/текше метр,,,Қаратау,,0.003
2016,мг/текше метр,,,Қаратау,,0.01
2017,мг/текше метр,,,Қаратау,,0.03
2018,мг/текше метр,,,Қаратау,,0.037000000000000005
2015,мг/текше метр,,,Шу,,0.023
2016,мг/текше метр,,,Шу,,0.03
2017,мг/текше метр,,,Шу,,0.04
2018,мг/текше метр,,,Шу,,0.038
2015,мг/текше метр,,,Қордай кенті,,0.02
2016,мг/текше метр,,,Қордай кенті,,0.02
2017,мг/текше метр,,,Қордай кенті,,0.02
2018,мг/текше метр,,,Қордай кенті,,0.005
2016,мг/текше метр,,,Орал,,0.02
2017,мг/текше метр,,,Орал,,0.01
2018,мг/текше метр,,,Орал,,0.023
2015,мг/текше метр,,,Березовка кенті,,0.0078
2016,мг/текше метр,,,Березовка кенті,,0.01
2017,мг/текше метр,,,Березовка кенті,,0.0095
2015,мг/текше метр,,,Январцев кенті,,0.011000000000000001
