Year,Units,Экономикалық қызмет түрлері,Өңірлер,GeoCode,Value
2011,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,,,9.1
2012,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,,,8.4
2013,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,,,8.1
2014,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,,,8.7
2015,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,,,10.3
2016,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,,,12.7
2017,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,,,11.3
2018,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,,,10.2
2014,пайыз,,Ақмола,KZ03,0.2
2015,пайыз,,Ақмола,KZ03,9.7
2016,пайыз,,Ақмола,KZ03,17.3
2017,пайыз,,Ақмола,KZ03,19.3
2018,пайыз,,Ақмола,KZ03,15.7
2011,пайыз,,Алматы,KZ01,34.5
2012,пайыз,,Алматы,KZ01,33.9
2013,пайыз,,Алматы,KZ01,26.9
2014,пайыз,,Алматы,KZ01,55.6
2015,пайыз,,Алматы,KZ01,58.7
2016,пайыз,,Алматы,KZ01,72.2
2017,пайыз,,Алматы,KZ01,71.1
2018,пайыз,,Алматы,KZ01,64.9
2011,пайыз,,Шығыс Қазақстан,KZ15,74.8
2012,пайыз,,Шығыс Қазақстан,KZ15,74.2
2013,пайыз,,Шығыс Қазақстан,KZ15,73.5
2014,пайыз,,Шығыс Қазақстан,KZ15,75.3
2015,пайыз,,Шығыс Қазақстан,KZ15,75.9
2016,пайыз,,Шығыс Қазақстан,KZ15,79.3
2017,пайыз,,Шығыс Қазақстан,KZ15,75.7
2018,пайыз,,Шығыс Қазақстан,KZ15,74.3
2011,пайыз,,Жамбыл,KZ17,1.5
2012,пайыз,,Жамбыл,KZ17,1.2
2013,пайыз,,Жамбыл,KZ17,1.5
2014,пайыз,,Жамбыл,KZ17,1.6
2015,пайыз,,Жамбыл,KZ17,4.4
2016,пайыз,,Жамбыл,KZ17,9.2
2017,пайыз,,Жамбыл,KZ17,10.1
2018,пайыз,,Жамбыл,KZ17,19.0
2015,пайыз,,Қызылорда,KZ14,0.1
2016,пайыз,,Қызылорда,KZ14,0.1
2017,пайыз,,Қызылорда,KZ14,0.1
2018,пайыз,,Қызылорда,KZ14,0.1
2011,пайыз,,Солтүстік Қазақстан,KZ16,0.6
2012,пайыз,,Солтүстік Қазақстан,KZ16,0.7
2013,пайыз,,Солтүстік Қазақстан,KZ16,0.7
2014,пайыз,,Солтүстік Қазақстан,KZ16,0.7
2015,пайыз,,Солтүстік Қазақстан,KZ16,0.7
2016,пайыз,,Солтүстік Қазақстан,KZ16,0.7
2017,пайыз,,Солтүстік Қазақстан,KZ16,0.6
2018,пайыз,,Солтүстік Қазақстан,KZ16,0.7
2011,пайыз,,Оңтүстік Қазақстан,KZ10,37.0
2012,пайыз,,Оңтүстік Қазақстан,KZ10,29.1
2013,пайыз,,Оңтүстік Қазақстан,KZ10,27.5
2014,пайыз,,Оңтүстік Қазақстан,KZ10,29.6
2015,пайыз,,Оңтүстік Қазақстан,KZ10,51.7
2016,пайыз,,Оңтүстік Қазақстан,KZ10,35.4
2017,пайыз,,Оңтүстік Қазақстан,KZ10,62.5
2018,пайыз,,Оңтүстік Қазақстан,KZ10,95.8
2012,пайыз,,Алматы қаласы,KZ02,0.1
2013,пайыз,,Алматы қаласы,KZ02,0.1
2014,пайыз,,Алматы қаласы,KZ02,5.0
2015,пайыз,,Алматы қаласы,KZ02,5.8
2016,пайыз,,Алматы қаласы,KZ02,6.6
2017,пайыз,,Алматы қаласы,KZ02,6.2
2018,пайыз,,Алматы қаласы,KZ02,6.0
2010,пайыз,үлкен ГЭС-ларды қоспағанда,,,0.0
2011,пайыз,үлкен ГЭС-ларды қоспағанда,,,0.0
2012,пайыз,үлкен ГЭС-ларды қоспағанда,,,0.0
2013,пайыз,үлкен ГЭС-ларды қоспағанда,,,0.0
2014,пайыз,үлкен ГЭС-ларды қоспағанда,,,0.62
2015,пайыз,үлкен ГЭС-ларды қоспағанда,,,0.77
2016,пайыз,үлкен ГЭС-ларды қоспағанда,,,0.98
2017,пайыз,үлкен ГЭС-ларды қоспағанда,,,1.3
2018,пайыз,үлкен ГЭС-ларды қоспағанда,,,1.3
