Year,Units,Өңірлер,GeoCode,Value
2011,мбт 2010 жылғы мың АҚШ доллар бағасында,,,0.49
2012,мбт 2010 жылғы мың АҚШ доллар бағасында,,,0.44
2013,мбт 2010 жылғы мың АҚШ доллар бағасында,,,0.46
2014,мбт 2010 жылғы мың АҚШ доллар бағасында,,,0.42
2015,мбт 2010 жылғы мың АҚШ доллар бағасында,,,0.42
2016,мбт 2010 жылғы мың АҚШ доллар бағасында,,,0.42
2017,мбт 2010 жылғы мың АҚШ доллар бағасында,,,0.42
2018,мбт 2010 жылғы мың АҚШ доллар бағасында,,,0.42
2012,мбт 2010 жылғы мың АҚШ доллар бағасында,Ақмола,KZ03,0.83
2013,мбт 2010 жылғы мың АҚШ доллар бағасында,Ақмола,KZ03,0.51
2014,мбт 2010 жылғы мың АҚШ доллар бағасында,Ақмола,KZ03,0.67
2015,мбт 2010 жылғы мың АҚШ доллар бағасында,Ақмола,KZ03,0.62
2016,мбт 2010 жылғы мың АҚШ доллар бағасында,Ақмола,KZ03,0.39
2017,мбт 2010 жылғы мың АҚШ доллар бағасында,Ақмола,KZ03,0.45
2018,мбт 2010 жылғы мың АҚШ доллар бағасында,Ақмола,KZ03,0.43
2012,мбт 2010 жылғы мың АҚШ доллар бағасында,Ақтөбе,KZ04,2.63
2013,мбт 2010 жылғы мың АҚШ доллар бағасында,Ақтөбе,KZ04,2.31
2014,мбт 2010 жылғы мың АҚШ доллар бағасында,Ақтөбе,KZ04,3.55
2015,мбт 2010 жылғы мың АҚШ доллар бағасында,Ақтөбе,KZ04,3.36
2016,мбт 2010 жылғы мың АҚШ доллар бағасында,Ақтөбе,KZ04,3.43
2017,мбт 2010 жылғы мың АҚШ доллар бағасында,Ақтөбе,KZ04,3.41
2018,мбт 2010 жылғы мың АҚШ доллар бағасында,Ақтөбе,KZ04,3.69
2012,мбт 2010 жылғы мың АҚШ доллар бағасында,Алматы,KZ01,0.17
2013,мбт 2010 жылғы мың АҚШ доллар бағасында,Алматы,KZ01,0.2
2014,мбт 2010 жылғы мың АҚШ доллар бағасында,Алматы,KZ01,0.21
2015,мбт 2010 жылғы мың АҚШ доллар бағасында,Алматы,KZ01,0.2
2016,мбт 2010 жылғы мың АҚШ доллар бағасында,Алматы,KZ01,0.13
2017,мбт 2010 жылғы мың АҚШ доллар бағасында,Алматы,KZ01,0.14
2018,мбт 2010 жылғы мың АҚШ доллар бағасында,Алматы,KZ01,0.15
2012,мбт 2010 жылғы мың АҚШ доллар бағасында,Атырау,KZ06,1.92
2013,мбт 2010 жылғы мың АҚШ доллар бағасында,Атырау,KZ06,1.92
2014,мбт 2010 жылғы мың АҚШ доллар бағасында,Атырау,KZ06,1.53
2015,мбт 2010 жылғы мың АҚШ доллар бағасында,Атырау,KZ06,1.43
2016,мбт 2010 жылғы мың АҚШ доллар бағасында,Атырау,KZ06,1.42
2017,мбт 2010 жылғы мың АҚШ доллар бағасында,Атырау,KZ06,1.46
2018,мбт 2010 жылғы мың АҚШ доллар бағасында,Атырау,KZ06,1.4
2012,мбт 2010 жылғы мың АҚШ доллар бағасында,Батыс Қазақстан,KZ07,3.28
2013,мбт 2010 жылғы мың АҚШ доллар бағасында,Батыс Қазақстан,KZ07,4.08
2014,мбт 2010 жылғы мың АҚШ доллар бағасында,Батыс Қазақстан,KZ07,5.15
2015,мбт 2010 жылғы мың АҚШ доллар бағасында,Батыс Қазақстан,KZ07,4.72
2016,мбт 2010 жылғы мың АҚШ доллар бағасында,Батыс Қазақстан,KZ07,5.46
2017,мбт 2010 жылғы мың АҚШ доллар бағасында,Батыс Қазақстан,KZ07,5.68
2018,мбт 2010 жылғы мың АҚШ доллар бағасында,Батыс Қазақстан,KZ07,5.54
2012,мбт 2010 жылғы мың АҚШ доллар бағасында,Жамбыл,KZ17,1.0
2013,мбт 2010 жылғы мың АҚШ доллар бағасында,Жамбыл,KZ17,0.31
2014,мбт 2010 жылғы мың АҚШ доллар бағасында,Жамбыл,KZ17,1.0
2015,мбт 2010 жылғы мың АҚШ доллар бағасында,Жамбыл,KZ17,0.24
2016,мбт 2010 жылғы мың АҚШ доллар бағасында,Жамбыл,KZ17,0.37
2017,мбт 2010 жылғы мың АҚШ доллар бағасында,Жамбыл,KZ17,0.24
2018,мбт 2010 жылғы мың АҚШ доллар бағасында,Жамбыл,KZ17,0.22
2012,мбт 2010 жылғы мың АҚШ доллар бағасында,Қарағанды,KZ12,4.54
2013,мбт 2010 жылғы мың АҚШ доллар бағасында,Қарағанды,KZ12,3.77
2014,мбт 2010 жылғы мың АҚШ доллар бағасында,Қарағанды,KZ12,3.54
2015,мбт 2010 жылғы мың АҚШ доллар бағасында,Қарағанды,KZ12,3.06
2016,мбт 2010 жылғы мың АҚШ доллар бағасында,Қарағанды,KZ12,2.7
2017,мбт 2010 жылғы мың АҚШ доллар бағасында,Қарағанды,KZ12,2.69
2018,мбт 2010 жылғы мың АҚШ доллар бағасында,Қарағанды,KZ12,2.84
2012,мбт 2010 жылғы мың АҚШ доллар бағасында,Қостанай,KZ13,0.04
2013,мбт 2010 жылғы мың АҚШ доллар бағасында,Қостанай,KZ13,0.03
2014,мбт 2010 жылғы мың АҚШ доллар бағасында,Қостанай,KZ13,0.01
2015,мбт 2010 жылғы мың АҚШ доллар бағасында,Қостанай,KZ13,0.01
2016,мбт 2010 жылғы мың АҚШ доллар бағасында,Қостанай,KZ13,0.05
2017,мбт 2010 жылғы мың АҚШ доллар бағасында,Қостанай,KZ13,0.02
2018,мбт 2010 жылғы мың АҚШ доллар бағасында,Қостанай,KZ13,0.01
2012,мбт 2010 жылғы мың АҚШ доллар бағасында,Қызылорда,KZ14,6.55
2013,мбт 2010 жылғы мың АҚШ доллар бағасында,Қызылорда,KZ14,5.69
2014,мбт 2010 жылғы мың АҚШ доллар бағасында,Қызылорда,KZ14,5.08
2015,мбт 2010 жылғы мың АҚШ доллар бағасында,Қызылорда,KZ14,5.0
2016,мбт 2010 жылғы мың АҚШ доллар бағасында,Қызылорда,KZ14,5.4
2017,мбт 2010 жылғы мың АҚШ доллар бағасында,Қызылорда,KZ14,5.96
2018,мбт 2010 жылғы мың АҚШ доллар бағасында,Қызылорда,KZ14,5.96
2012,мбт 2010 жылғы мың АҚШ доллар бағасында,Маңғыстау,KZ09,2.65
2013,мбт 2010 жылғы мың АҚШ доллар бағасында,Маңғыстау,KZ09,2.79
