Year,Units,Value
2010,пайыз,6.703248580322392
2011,пайыз,6.845508474323473
2012,пайыз,5.728223612191572
2013,пайыз,4.766421283974449
2014,пайыз,4.9899727329014025
2015,пайыз,5.155362240749481
2016,пайыз,5.538490654915606
2017,пайыз,4.557549073815523
2018,пайыз,5.6
