Year,Units,Ресми даму бойынша көмек,Value
2010,млн.АҚШ доллар,Қазақстан-алушы,20.9
2011,млн.АҚШ доллар,Қазақстан-алушы,4.36
2012,млн.АҚШ доллар,Қазақстан-алушы,0.91
2013,млн.АҚШ доллар,Қазақстан-алушы,0.17
2014,млн.АҚШ доллар,Қазақстан-алушы,0.02
2015,млн.АҚШ доллар,Қазақстан-алушы,0.17
2016,млн.АҚШ доллар,Қазақстан-алушы,0.22
2017,млн.АҚШ доллар,Қазақстан-алушы,0.71
2013,млн.АҚШ доллар,Қазақстан-донор,0.0038
2014,млн.АҚШ доллар,Қазақстан-донор,0.0066
2015,млн.АҚШ доллар,Қазақстан-донор,0.0073
2016,млн.АҚШ доллар,Қазақстан-донор,0.0104
2017,млн.АҚШ доллар,Қазақстан-донор,0.0031
