Year,Units,Охроняемые виды,Value
2010,пайыз,сайгак,4.7
2010,пайыз,тоғай кермаралы,0.7
2010,пайыз,Құлан,0.9
2010,пайыз,Қарақұйрық,-25.1
2010,пайыз,Арқар,2.6
2011,пайыз,сайгак,19.3
2011,пайыз,тоғай кермаралы,7.1
2011,пайыз,Құлан,16.8
2011,пайыз,Қарақұйрық,4.3
2011,пайыз,Арқар,2.0
2012,пайыз,сайгак,34.8
2012,пайыз,тоғай кермаралы,3.1
2012,пайыз,Құлан,10.3
2012,пайыз,Қарақұйрық,2.0
2012,пайыз,Арқар,4.7
2013,пайыз,сайгак,36.0
2013,пайыз,тоғай кермаралы,3.4
2013,пайыз,Құлан,6.1
2013,пайыз,Қарақұйрық,0.8
2013,пайыз,Арқар,1.4
2014,пайыз,сайгак,37.3
2014,пайыз,тоғай кермаралы,4.5
2014,пайыз,Құлан,5.1
2014,пайыз,Қарақұйрық,1.5
2014,пайыз,Арқар,6.6
2015,пайыз,сайгак,15.1
2015,пайыз,тоғай кермаралы,4.5
2015,пайыз,Құлан,5.1
2015,пайыз,Қарақұйрық,1.5
2015,пайыз,Арқар,6.6
2016,пайыз,сайгак,-63.3
2016,пайыз,тоғай кермаралы,42.3
2016,пайыз,Құлан,5.89
2016,пайыз,Қарақұйрық,0.16
2016,пайыз,Арқар,1.7
2017,пайыз,сайгак,40.9
2017,пайыз,тоғай кермаралы,15.2
2017,пайыз,Құлан,4.6
2017,пайыз,Қарақұйрық,3.8
2017,пайыз,Арқар,5.1
2018,пайыз,сайгак,41.0
2018,пайыз,тоғай кермаралы,3.7
2018,пайыз,Құлан,2.9
2018,пайыз,Қарақұйрық,2.3
2018,пайыз,Арқар,1.5
2019,пайыз,сайгак,55.5
2019,пайыз,тоғай кермаралы,2.5
2019,пайыз,Құлан,2.3
2019,пайыз,Қарақұйрық,2.3
2019,пайыз,Арқар,5.2
