Year,Units,Вид частиц РМ,Город,Value
2016,мг/метр куб,"взвешенные частицы РМ-2,5",п_Березовка,0.01
2016,мг/метр куб,"взвешенные частицы РМ-2,5",п_Январцево,0.004
2016,мг/метр куб,"взвешенные частицы РМ-2,5",г_Караганда,0.1
2016,мг/метр куб,"взвешенные частицы РМ-2,5",г_Балхаш,0.03
2016,мг/метр куб,"взвешенные частицы РМ-2,5",г_Жезказган,0.01
2016,мг/метр куб,"взвешенные частицы РМ-2,5",г_Сарань,0.02
2016,мг/метр куб,"взвешенные частицы РМ-2,5",п_Карабалык,0.02
2016,мг/метр куб,"взвешенные частицы РМ-2,5",г_Кызылорда,0.02
2016,мг/метр куб,"взвешенные частицы РМ-2,5",г_Актау,0.0
2016,мг/метр куб,"взвешенные частицы РМ-2,5",п_Бейнеу,0.01
2016,мг/метр куб,"взвешенные частицы РМ-2,5",г_Павлодар,0.008
2016,мг/метр куб,"взвешенные частицы РМ-2,5",г_Экибастуз,0.02
2016,мг/метр куб,"взвешенные частицы РМ-2,5",г_Петропавловск,0.01
2016,мг/метр куб,"взвешенные частицы РМ-2,5",г_Шымкент,0.0
2016,мг/метр куб,"взвешенные частицы РМ-2,5",г_Кентау,0.0
2016,мг/метр куб,взвешенные частицы РМ-10,г_Нур-Султан,0.1
2016,мг/метр куб,взвешенные частицы РМ-10,г_Кокшетау,0.002
2016,мг/метр куб,взвешенные частицы РМ-10,г_Степногорск,0.008
2016,мг/метр куб,взвешенные частицы РМ-10,СКФМ «Боровое»,0.02
2016,мг/метр куб,взвешенные частицы РМ-10,ЩБКЗ,0.03
2016,мг/метр куб,взвешенные частицы РМ-10,п_Сарыбулак,0.01
2016,мг/метр куб,взвешенные частицы РМ-10,г_Актобе,0.04
2016,мг/метр куб,взвешенные частицы РМ-10,г_Алматы,0.05
2016,мг/метр куб,взвешенные частицы РМ-10,г_Талдыкорган,0.1
2016,мг/метр куб,взвешенные частицы РМ-10,г_Атырау,0.01
2016,мг/метр куб,взвешенные частицы РМ-10,г_Кульсары,0.0
2016,мг/метр куб,взвешенные частицы РМ-10,г_Усть-Каменогорск,0.0
2016,мг/метр куб,взвешенные частицы РМ-10,г_Риддер,0.0
2016,мг/метр куб,взвешенные частицы РМ-10,г_Семей,0.024
2016,мг/метр куб,взвешенные частицы РМ-10,п_Глубокое,0.0553
2016,мг/метр куб,взвешенные частицы РМ-10,г_Зыряновск,0.0003
2016,мг/метр куб,взвешенные частицы РМ-10,г_Тараз,0.1
2016,мг/метр куб,взвешенные частицы РМ-10,г_Жанатас,0.02
2016,мг/метр куб,взвешенные частицы РМ-10,г_Каратау,0.04
2016,мг/метр куб,взвешенные частицы РМ-10,г_Чу,0.1
2016,мг/метр куб,взвешенные частицы РМ-10,п_Кордай,0.03
2016,мг/метр куб,взвешенные частицы РМ-10,г_Уральск,0.04
2016,мг/метр куб,взвешенные частицы РМ-10,г_Аксай,0.01
2016,мг/метр куб,взвешенные частицы РМ-10,п_Березовка,0.02
2016,мг/метр куб,взвешенные частицы РМ-10,п_Январцево,0.006999999999999999
2016,мг/метр куб,взвешенные частицы РМ-10,г_Караганда,0.1
2016,мг/метр куб,взвешенные частицы РМ-10,г_Балхаш,0.04
2016,мг/метр куб,взвешенные частицы РМ-10,г_Жезказган,0.03
2016,мг/метр куб,взвешенные частицы РМ-10,г_Сарань,0.03
2016,мг/метр куб,взвешенные частицы РМ-10,г_Темиртау,0.0
2016,мг/метр куб,взвешенные частицы РМ-10,г_Костанай,0.05
2016,мг/метр куб,взвешенные частицы РМ-10,г_Рудный,0.02
2016,мг/метр куб,взвешенные частицы РМ-10,п_Карабалык,0.03
2016,мг/метр куб,взвешенные частицы РМ-10,г_Кызылорда,0.02
2016,мг/метр куб,взвешенные частицы РМ-10,п_Акай,0.0001
2016,мг/метр куб,взвешенные частицы РМ-10,п_Торетам,0.0001
2016,мг/метр куб,взвешенные частицы РМ-10,г_Актау,0.01
2016,мг/метр куб,взвешенные частицы РМ-10,г_Жанаозен,0.02
2016,мг/метр куб,взвешенные частицы РМ-10,п_Бейнеу,0.06
2016,мг/метр куб,взвешенные частицы РМ-10,г_Павлодар,0.016
2016,мг/метр куб,взвешенные частицы РМ-10,г_Экибастуз,0.02
2016,мг/метр куб,взвешенные частицы РМ-10,г_Аксу,0.02
2016,мг/метр куб,взвешенные частицы РМ-10,г_Петропавловск,0.015
2016,мг/метр куб,взвешенные частицы РМ-10,г_Шымкент,0.1
2016,мг/метр куб,взвешенные частицы РМ-10,г_Туркестан,0.0
2016,мг/метр куб,взвешенные частицы РМ-10,г_Кентау,0.0
2017,мг/метр куб,"взвешенные частицы РМ-2,5",г_Нур-Султан,0.02
2017,мг/метр куб,"взвешенные частицы РМ-2,5",г_Кокшетау,0.002
2017,мг/метр куб,"взвешенные частицы РМ-2,5",г_Степногорск,0.002
2017,мг/метр куб,"взвешенные частицы РМ-2,5",СКФМ «Боровое»,0.02
2017,мг/метр куб,"взвешенные частицы РМ-2,5",ЩБКЗ,0.02
2017,мг/метр куб,"взвешенные частицы РМ-2,5",п_Сарыбулак,0.01
2017,мг/метр куб,"взвешенные частицы РМ-2,5",г_Актобе,0.02
2017,мг/метр куб,"взвешенные частицы РМ-2,5",г_Алматы,0.009000000000000001
2017,мг/метр куб,"взвешенные частицы РМ-2,5",г_Атырау,0.01
2017,мг/метр куб,"взвешенные частицы РМ-2,5",г_Семей,0.03
2017,мг/метр куб,"взвешенные частицы РМ-2,5",п_Глубокое,0.019
2017,мг/метр куб,"взвешенные частицы РМ-2,5",г_Зыряновск,0.01
2017,мг/метр куб,"взвешенные частицы РМ-2,5",г_Жанатас,0.01
2017,мг/метр куб,"взвешенные частицы РМ-2,5",г_Каратау,0.03
2017,мг/метр куб,"взвешенные частицы РМ-2,5",г_Чу,0.04
2017,мг/метр куб,"взвешенные частицы РМ-2,5",п_Кордай,0.02
2017,мг/метр куб,"взвешенные частицы РМ-2,5",г_Уральск,0.01
2017,мг/метр куб,"взвешенные частицы РМ-2,5",п_Березовка,0.0095
2017,мг/метр куб,"взвешенные частицы РМ-2,5",г_Караганда,0.1
2017,мг/метр куб,"взвешенные частицы РМ-2,5",г_Балхаш,0.03
2017,мг/метр куб,"взвешенные частицы РМ-2,5",г_Жезказган,0.01
2017,мг/метр куб,"взвешенные частицы РМ-2,5",г_Сарань,0.02
2017,мг/метр куб,"взвешенные частицы РМ-2,5",п_Карабалык,0.02
2017,мг/метр куб,"взвешенные частицы РМ-2,5",г_Кызылорда,0.01
2017,мг/метр куб,"взвешенные частицы РМ-2,5",г_Актау,0.02
2017,мг/метр куб,"взвешенные частицы РМ-2,5",п_Бейнеу,0.01
2017,мг/метр куб,"взвешенные частицы РМ-2,5",г_Павлодар,0.0053
2017,мг/метр куб,"взвешенные частицы РМ-2,5",г_Экибастуз,0.01
2017,мг/метр куб,"взвешенные частицы РМ-2,5",г_Петропавловск,0.016
2017,мг/метр куб,"взвешенные частицы РМ-2,5",г_Шымкент,0.04
2017,мг/метр куб,"взвешенные частицы РМ-2,5",г_Кентау,0.0
2017,мг/метр куб,взвешенные частицы РМ-10,г_Нур-Султан,0.06
2017,мг/метр куб,взвешенные частицы РМ-10,г_Кокшетау,0.002
2017,мг/метр куб,взвешенные частицы РМ-10,г_Степногорск,0.003
2017,мг/метр куб,взвешенные частицы РМ-10,СКФМ «Боровое»,0.02
2017,мг/метр куб,взвешенные частицы РМ-10,ЩБКЗ,0.02
2017,мг/метр куб,взвешенные частицы РМ-10,п_Сарыбулак,0.01
2017,мг/метр куб,взвешенные частицы РМ-10,г_Актобе,0.04
2017,мг/метр куб,взвешенные частицы РМ-10,г_Алматы,0.3
2017,мг/метр куб,взвешенные частицы РМ-10,г_Атырау,0.02
2017,мг/метр куб,взвешенные частицы РМ-10,г_Усть-Каменогорск,0.5
2017,мг/метр куб,взвешенные частицы РМ-10,г_Риддер,0.06
2017,мг/метр куб,взвешенные частицы РМ-10,г_Семей,0.02
2017,мг/метр куб,взвешенные частицы РМ-10,п_Глубокое,0.022000000000000002
2017,мг/метр куб,взвешенные частицы РМ-10,г_Зыряновск,0.02
2017,мг/метр куб,взвешенные частицы РМ-10,г_Тараз,0.04
2017,мг/метр куб,взвешенные частицы РМ-10,г_Жанатас,0.03
2017,мг/метр куб,взвешенные частицы РМ-10,г_Каратау,0.06
2017,мг/метр куб,взвешенные частицы РМ-10,г_Чу,0.1
2017,мг/метр куб,взвешенные частицы РМ-10,п_Кордай,0.04
2017,мг/метр куб,взвешенные частицы РМ-10,г_Уральск,0.02
2017,мг/метр куб,взвешенные частицы РМ-10,г_Аксай,0.011000000000000001
2017,мг/метр куб,взвешенные частицы РМ-10,п_Березовка,0.01
2017,мг/метр куб,взвешенные частицы РМ-10,г_Караганда,0.1
2017,мг/метр куб,взвешенные частицы РМ-10,г_Балхаш,0.03
2017,мг/метр куб,взвешенные частицы РМ-10,г_Жезказган,0.03
2017,мг/метр куб,взвешенные частицы РМ-10,г_Сарань,0.03
2017,мг/метр куб,взвешенные частицы РМ-10,г_Костанай,0.01
2017,мг/метр куб,взвешенные частицы РМ-10,г_Рудный,0.03
2017,мг/метр куб,взвешенные частицы РМ-10,п_Карабалык,0.03
2017,мг/метр куб,взвешенные частицы РМ-10,г_Аркалык,0.02
2017,мг/метр куб,взвешенные частицы РМ-10,г_Житикара,0.03
2017,мг/метр куб,взвешенные частицы РМ-10,г_Лисаковск,0.023
2017,мг/метр куб,взвешенные частицы РМ-10,г_Кызылорда,0.04
2017,мг/метр куб,взвешенные частицы РМ-10,п_Торетам,0.0
2017,мг/метр куб,взвешенные частицы РМ-10,г_Актау,0.1
2017,мг/метр куб,взвешенные частицы РМ-10,г_Жанаозен,0.002
2017,мг/метр куб,взвешенные частицы РМ-10,п_Бейнеу,0.05
2017,мг/метр куб,взвешенные частицы РМ-10,г_Павлодар,0.0069
2017,мг/метр куб,взвешенные частицы РМ-10,г_Экибастуз,0.01
2017,мг/метр куб,взвешенные частицы РМ-10,г_Петропавловск,0.0024
2017,мг/метр куб,взвешенные частицы РМ-10,г_Шымкент,0.1
2017,мг/метр куб,взвешенные частицы РМ-10,г_Кентау,0.0
2018,мг/метр куб,"взвешенные частицы РМ-2,5",г_Нур-Султан,0.02
2018,мг/метр куб,"взвешенные частицы РМ-2,5",г_Кокшетау,0.0023
2018,мг/метр куб,"взвешенные частицы РМ-2,5",СКФМ «Боровое»,0.048
2018,мг/метр куб,"взвешенные частицы РМ-2,5",ЩБКЗ,0.02
2018,мг/метр куб,"взвешенные частицы РМ-2,5",п_Сарыбулак,0.01
2018,мг/метр куб,"взвешенные частицы РМ-2,5",г_Актобе,0.017
2018,мг/метр куб,"взвешенные частицы РМ-2,5",г_Алматы,0.015
2018,мг/метр куб,"взвешенные частицы РМ-2,5",г_Атырау,0.01
2018,мг/метр куб,"взвешенные частицы РМ-2,5",г_Семей,0.025
2018,мг/метр куб,"взвешенные частицы РМ-2,5",п_Глубокое,0.0328
2018,мг/метр куб,"взвешенные частицы РМ-2,5",г_Зыряновск,1e-05
2018,мг/метр куб,"взвешенные частицы РМ-2,5",г_Жанатас,0.017
2018,мг/метр куб,"взвешенные частицы РМ-2,5",г_Каратау,0.037000000000000005
2018,мг/метр куб,"взвешенные частицы РМ-2,5",г_Чу,0.038
2018,мг/метр куб,"взвешенные частицы РМ-2,5",п_Кордай,0.005
2018,мг/метр куб,"взвешенные частицы РМ-2,5",г_Уральск,0.023
2018,мг/метр куб,"взвешенные частицы РМ-2,5",г_Караганда,0.11
2018,мг/метр куб,"взвешенные частицы РМ-2,5",г_Сарань,0.017
2018,мг/метр куб,"взвешенные частицы РМ-2,5",п_Карабалык,0.01
2018,мг/метр куб,"взвешенные частицы РМ-2,5",г_Кызылорда,0.01
2018,мг/метр куб,"взвешенные частицы РМ-2,5",г_Актау,0.009000000000000001
2018,мг/метр куб,"взвешенные частицы РМ-2,5",п_Бейнеу,0.005
2018,мг/метр куб,"взвешенные частицы РМ-2,5",г_Павлодар,0.0046
2018,мг/метр куб,"взвешенные частицы РМ-2,5",г_Экибастуз,0.0
2018,мг/метр куб,"взвешенные частицы РМ-2,5",г_Петропавловск,0.01
2018,мг/метр куб,"взвешенные частицы РМ-2,5",г_Шымкент,0.04
2018,мг/метр куб,"взвешенные частицы РМ-2,5",г_Кентау,0.006
2018,мг/метр куб,взвешенные частицы РМ-10,г_Нур-Султан,0.02
2018,мг/метр куб,взвешенные частицы РМ-10,г_Кокшетау,0.004
2018,мг/метр куб,взвешенные частицы РМ-10,СКФМ «Боровое»,0.05
2018,мг/метр куб,взвешенные частицы РМ-10,ЩБКЗ,0.02
2018,мг/метр куб,взвешенные частицы РМ-10,п_Сарыбулак,0.01
2018,мг/метр куб,взвешенные частицы РМ-10,г_Актобе,0.027999999999999997
2018,мг/метр куб,взвешенные частицы РМ-10,г_Алматы,0.03
2018,мг/метр куб,взвешенные частицы РМ-10,г_Атырау,0.022000000000000002
2018,мг/метр куб,взвешенные частицы РМ-10,г_Усть-Каменогорск,0.04
2018,мг/метр куб,взвешенные частицы РМ-10,г_Риддер,0.04
2018,мг/метр куб,взвешенные частицы РМ-10,г_Семей,0.03
2018,мг/метр куб,взвешенные частицы РМ-10,п_Глубокое,0.03
2018,мг/метр куб,взвешенные частицы РМ-10,г_Зыряновск,2.9999999999999997e-05
2018,мг/метр куб,взвешенные частицы РМ-10,г_Тараз,0.027999999999999997
2018,мг/метр куб,взвешенные частицы РМ-10,г_Жанатас,0.03
2018,мг/метр куб,взвешенные частицы РМ-10,г_Каратау,0.06
2018,мг/метр куб,взвешенные частицы РМ-10,г_Чу,0.06
2018,мг/метр куб,взвешенные частицы РМ-10,п_Кордай,0.011000000000000001
2018,мг/метр куб,взвешенные частицы РМ-10,г_Уральск,0.01
2018,мг/метр куб,взвешенные частицы РМ-10,г_Аксай,0.0
2018,мг/метр куб,взвешенные частицы РМ-10,г_Караганда,0.11
2018,мг/метр куб,взвешенные частицы РМ-10,г_Сарань,0.02
2018,мг/метр куб,взвешенные частицы РМ-10,г_Костанай,0.04
2018,мг/метр куб,взвешенные частицы РМ-10,г_Рудный,0.0
2018,мг/метр куб,взвешенные частицы РМ-10,п_Карабалык,0.02
