Year,Units,Value
2010,тонн СО2-экв/душу населения,18.560472786331275
2011,тонн СО2-экв/душу населения,17.777267417253032
2012,тонн СО2-экв/душу населения,18.112558017071134
2013,тонн СО2-экв/душу населения,18.50093866196633
2014,тонн СО2-экв/душу населения,19.81363395408512
2015,тонн СО2-экв/душу населения,20.246704270202173
2016,тонн СО2-экв/душу населения,20.11730857885633
2017,тонн СО2-экв/душу населения,21.258322309736954
2018,тонн СО2-экв/душу населения,21.9608603762728
