Year,Units,Регионы,Value
2018,тыс_тенге,Акмолинская,1921.8
2018,тыс_тенге,Актюбинская,4239.8
2018,тыс_тенге,Алматинская,2069.4
2018,тыс_тенге,Атырауская,7037.0
2018,тыс_тенге,Западно-Казахстанская,1105.7
2018,тыс_тенге,Жамбылская,1024.7
2018,тыс_тенге,Карагандинская,3347.5
2018,тыс_тенге,Костанайская,1780.1
2018,тыс_тенге,Кызылординская,2291.8
2018,тыс_тенге,Мангистауская,11807.3
2018,тыс_тенге,Павлодарская,1757.4
2018,тыс_тенге,Северо-Казахстанская,2781.3
2018,тыс_тенге,Туркестанская,1725.6
2018,тыс_тенге,Восточно-Казахстанская,3077.7
2018,тыс_тенге,г_Нур-Султан,2134.8
2018,тыс_тенге,г_Алматы,2245.8
2018,тыс_тенге,г_Шымкент,2034.2
2019,тыс_тенге,,2433.6
2019,тыс_тенге,Акмолинская,2345.4
2019,тыс_тенге,Актюбинская,4751.0
2019,тыс_тенге,Алматинская,2361.0
2019,тыс_тенге,Атырауская,8015.6
2019,тыс_тенге,Западно-Казахстанская,1933.4
2019,тыс_тенге,Жамбылская,1201.1
2019,тыс_тенге,Карагандинская,3342.6
2019,тыс_тенге,Костанайская,1928.9
2019,тыс_тенге,Кызылординская,2803.2
2019,тыс_тенге,Мангистауская,12144.9
2019,тыс_тенге,Павлодарская,2044.4
2019,тыс_тенге,Северо-Казахстанская,3575.4
2019,тыс_тенге,Туркестанская,1981.0
2019,тыс_тенге,Восточно-Казахстанская,3327.2
2019,тыс_тенге,г_Нур-Султан,1167.9
2019,тыс_тенге,г_Алматы,2217.5
2019,тыс_тенге,г_Шымкент,2709.3
