Value,kk,en,Disaggregation combinations using this value,Number of indicators
промышленность,өнеркәсіп,Industry,1,1
прочими видами деятельности,басқа да қызмет түрі бойынша,other types of activity,1,1
"сельское, лесное и рыбное хозяйство","ауыл, орман және балық шаруашылығы","agriculture, forestry and fishery",1,1
