Value,kk,en,Disaggregation combinations using this value,Number of indicators
вдовец (вдова),жесір,Widowed,24,6
не состоял (а) в браке,үйленген жоқ,Not married,27,7
не указано,көрсетілмеген,Not reported,24,6
по гражданству матери,анасының азаматтығы бойынша,Based on mother' citizenship,16,2
разведен(а),ажырасқан,Divorced,24,6
состоял (а) в браке,үйленген,Was married,27,7
