Value,kk,en,Disaggregation combinations using this value,Number of indicators
архар,Арқар,Argali (latin: Ovis ammon),1,1
джейран,Қарақұйрық,Goitered gazelle (latin: Gazella subgutturosa),1,1
кулан,Құлан,Onager (latin Equus hemionus),1,1
сайгак,сайгак,сайгак,1,1
тугайный благородный олень,тоғай кермаралы,The Bactrian deer (latin: Cervus elaphus bactrianus),1,1
