Value,kk,en,Disaggregation combinations using this value,Number of indicators
беднейший,ең кедей,extreme poverty,2,2
богатейший,ең бай,wealthy,2,2
второй,екінші,second,2,2
средний,орташа,third,2,2
четвертый,төртінші,fourth,2,2
