Value,kk,en,Disaggregation combinations using this value,Number of indicators
Избыточный вес: Умеренная и сильная степень отклонения от нормы,Избыточный вес: Умеренная и сильная степень отклонения от нормы,Избыточный вес: Умеренная и сильная степень отклонения от нормы,29,1
сильная степень отклонения от нормы,нормадан күшті ауытқу,Strong deviation from the norm,58,2
умеренная и сильная степень отклонения от нормы,қалыпты және қатал ауытқушылық,Rate of deviation from the norm (moderate and strong),58,2
