Value,kk,en,Disaggregation combinations using this value,Number of indicators
начальное,бастауыш,elementary,19,1
основное среднее,негізгі орта,basic secondary (middle-school),19,1
среднее образование,орта білім,Secondary Education (Middle School),19,1
