Value,kk,en,Disaggregation combinations using this value,Number of indicators
местные органы власти (Маслихат),жергілікті билік органдарында (Мәслихаттар),Local Representative Bodies (Maslikhats),1,1
национальный парламент (Мажилис),ұлттық парламенттерде (Мәжіліс),National Parliament (Mazhilis),1,1
