Value,kk,en,Disaggregation combinations using this value,Number of indicators
"1,9 долларов США по ППС в  день","Күніне САҚП бойынша 1,9 АҚШ доллары",1.9 US dollars per day (based on PPP),32,1
"3,2 долларов США по ППС в  день","Күніне САҚП бойынша 3,2 АҚШ доллары",3.2 US dollars per day (based on PPP),54,1
"5,5 долларов США по ППС в  день","Күніне САҚП бойынша 5,5 АҚШ доллары",5.5 US dollars per day (based on PPP),56,1
