Value,kk,en,Disaggregation combinations using this value,Number of indicators
вдовец (вдова),жесір,Widowed,20,5
не состоял (а) в браке,үйленген жоқ,Not married,23,6
не указано,көрсетілмеген,Not reported,20,5
по гражданству матери,анасының азаматтығы бойынша,Based on mother' citizenship,8,1
разведен(а),ажырасқан,Divorced,20,5
состоял (а) в браке,үйленген,Was married,23,6
