Value,kk,en,Disaggregation combinations using this value,Number of indicators
Доходы домохозяйств на душу населения среди наименее обеспеченных 40 процентов населения,Халықтың 40 пайызының арасындағы ең нашар қамсыздандырылғандардың табысы,Per capita household income among the poorest 40 percent of the population,1,1
Расходы домохозяйств на душу населения среди наименее обеспеченных 40 процентов населения,Халықтың 40 пайызының арасындағы ең нашар қамсыздандырылғандардың шығыстары,Household spending per capita among the poorest 40 percent of the population,1,1
Расходы домохозяйств на душу населения,Үй шаруашылықтарының жан басына шаққандағы шығыстары,Household expenditures per capita,1,1
