Value,kk,en,Disaggregation combinations using this value,Number of indicators
0-17 лет,0-17 лет,0-17 лет,1,1
0-5 месяцев,0-5 месяцев,0-5 месяцев,5,2
12-17 месяцев,12-17 месяцев,12-17 месяцев,5,2
12-23 месяцев,12-23 месяцев,12-23 месяцев,5,2
15-19,15-19,15-19,1,1
15,15,15,15,2
16-24,16-24,16-24,78,4
18-23 месяцев,18-23 месяцев,18-23 месяцев,5,2
18-24 лет,18-24 лет,18-24 лет,1,1
20-24,20-24,20-24,1,1
24-35 месяцев,24-35 месяцев,24-35 месяцев,5,2
25-28,25-28,25-28,78,4
25-29,25-29,25-29,1,1
25-54 лет,25-54 лет,25-54 лет,1,1
29-34,29-34,29-34,78,4
30-34,30-34,30-34,1,1
35-39,35-39,35-39,1,1
35-44,35-44,35-44,78,4
36-47 месяцев,36-47 ай,36-47 months,6,3
40-44,40-44,40-44,1,1
45-49,45-49,45-49,1,1
45-54,45-54,45-54,78,4
48-59 месяцев,48-59 ай,48-59 months,6,3
55-59,55-59,55-59,1,1
55-64,55-64,55-64,78,4
6-11 месяцев,6-11 месяцев,6-11 месяцев,5,2
6 лет,6 жас,6 years old,1,1
60+,60+,60+,1,1
65 и старше,65 және одан үлкен,65 and older,56,3
7 лет и старше,7 жастан асқан,7 years old and above,1,1
в возрасте 15-24 лет,15-24 жас аралығында,Age 15-24 years old,162,1
в возрасте 15 лет и старше,15 жастан асқан және одан жоғары,Age 15 years and older,162,1
в возрасте от 10 до -14 лет,10 жастан 14 жасқа дейін,age: 10-14 years old,54,1
в возрасте от 15 до - 19 лет,в возрасте от 15 до - 19 лет,в возрасте от 15 до - 19 лет,1,1
Женщины в возрасте 18-49 лет,Женщины в возрасте 18-49 лет,Женщины в возрасте 18-49 лет,6,1
женщины в возрасте 18-75 лет,18-75 жастағы әйелдер,Women: age 18-75 years old,6,1
