Value,kk,en,Disaggregation combinations using this value,Number of indicators
по государственным предприятиям и организациям,мемлекеттік кәсіпорындар мен ұйымдар бойынша,State-owned enterprises and organizations,19,1
по предприятиям и организациям  иностранной собственности,шетелдік меншік кәсіпорындар мен ұйымдар бойынша,Companies and organizations owned by foreigners,19,1
по предприятиям и организациям частной собственности,жеке меншік кәсіпорындар мен ұйымдар бойынша,Private companies and organizations,19,1
