Value,kk,en,Disaggregation combinations using this value,Number of indicators
в полной безопасности,толық қауіпсіз,Total security,15,1
всего,всего,всего,15,1
достаточно безопасно,жеткілікті қауіпсіз,Relatively safe,15,1
затруднились ответить,затруднились ответить,затруднились ответить,15,1
не безопасно,қауіпсіз емес,Not safe,15,1
совсем не безопасно,совсем не безопасно,совсем не безопасно,15,1
