Value,kk,en,Disaggregation combinations using this value,Number of indicators
Использование инструментов копирования и вставки информации или части информации для получения копий или перемещения информации в документе,Құжаттың көшірмесін алу немесе құжаттағы  ақпараттың орнын ауыстыру үшін ақпаратты көшіру және кірістіру құралдарын немесе ақпараттың бір бөлігін пайдалану,Using the copy and paste tools for information or part of information to get copies or move information in a document,36,1
Копирование или перенос файла или папки,Файлды немесе  папканы көшіру немесе жіберу,Copying or transferring a file or folder,36,1
"Отправка элекронной почты с вложенными файлами (документ, фотография, видео)","Ішкі файлдары бар (құжат, фотосурет, бейне) электрондық поштаны жіберу","Sending email with attached files (document, photo, video)",36,1
Передача файлов между компьютерами и другими устройствами,Компьютерлер мен басқа құрылғылар арасында файлдарды жіберу,Transferring files between computers and other devices,36,1
"Подключение и установка новых устройств (принтер, модем и другие)","Жаңа құрылғыларды қосу және орнату (принтер, модем және басқалар)","Connecting and installing new devices (printer, modem, and others)",36,1
"Поиск, загрузка и установка  программного обеспечения","Поиск, загрузка и установка  программного обеспечения","Search, download, and install software",36,1
"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)","Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)","Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",36,1
Работа в редакторе электронных таблиц Excel (использование базовых арифметических формул в таблицах),Excel электрондық кестелер редакторында жұмыс істеу (кестелерде базалық арифметикалық формулаларды қолдану),Working in the Excel spreadsheet editor (using basic arithmetic formulas in tables),36,1
Разработка компьютерных программ с использованием специального программного языка,Арнайы бағдарламалық тілді пайдалану арқылы компьютерлік бағдарламаларды әзірлеу,Development of computer programs using a special software language,36,1
