Value,kk,en,Disaggregation combinations using this value,Number of indicators
девочки,қыздар,Girls,179,8
женщины,әйелдер,Female,525,22
мальчики и девочки,ұлдар және қыздар,Boys and Girls,108,2
мальчики,ұлдар,Boys,178,8
мужчины,ерлер,Male,525,22
