Value,kk,en,Disaggregation combinations using this value,Number of indicators
острое отсутствие продовольственной безопасности,өткір азық-түлік қауіпсіздігі,Extreme food insecurity,1,1
умеренное и острое отсутствие продовольственной безопасности,қалыпты және қатаң азық-түлік қауіпсіздігі,Food insecurity (moderate and extreme),1,1
