Value,kk,en,Disaggregation combinations using this value,Number of indicators
без учета больших ГЭС,үлкен ГЭС-ларды қоспағанда,excluding large water-power-plant,1,1
всего,всего,всего,3,1
государственное управление и оборона; обязательное социальное обеспечение,мемлекеттік басқару және қорғаныс; міндетті әлеуметтік қамсыздандыру,government administration and defence,3,1
деятельность в области администрированного и вспомогательного обслуживания,әкімшілік және қосымша қызмет көрсету саласындағы қызмет,management and support activities,3,1
здравоохранение и социальные услуги,денсаулық сақтау және әлеуметтік қызметтер,health care and social care,3,1
информация и связь,ақпарат және байланыс,information and communication,3,1
"искусство, развлечение и отдых","өнер, ойын-сауық және демалыс","culture, entertainment and leisure",3,1
Образование,Білім беру,Education,3,1
операции с недвижимым имуществом,жылжымайтын мүлікпен операциялар,real estate transactions,3,1
оптовая и розничная торговля; ремонт автомобилей и мотоциклов,көтерме және бөлшек саудада сату; автомобильдерді және мотоциклдерді жөндеу,wholesale and retail trade; car and motorcycle repair,3,1
предоставление прочих видов услуг,қызметтердің басқа түрлерін ұсыну,provision of other types of services,3,1
промышленность,өнеркәсіп,Industry,3,1
"Профессиональная, научная и техническая деятельность","Профессиональная, научная и техническая деятельность","Профессиональная, научная и техническая деятельность",3,1
с учетом больших ГЭС,ірі гидроэлектрстанцияларын есепке ала отырып,including large water-power-plant,16,1
"сельское, лесное и рыбное хозяйство","ауыл, орман және балық шаруашылығы","agriculture, forestry and fishery",3,1
строительство,құрылыс,Construction,3,1
транспорт и складирование,көлік және жинақтау,transport and storage,3,1
услуги по проживанию и питанию,тұру және тамақтану бойынша қызмет көрсету,services (food and dwelling),3,1
финансовая и страховая деятельность,қаржы және сақтандыру қызметі,finance and insurance,3,1
