Indicator,Disaggregation combinations using this value
#16-1-4,3
#3-1-2,17
#4-2-1,1
#4-2-2-1,1
#4-3-1-2,57
#4-3-1-3,57
#4-5-1,3
#4-a-1,38
#5-4-1,1
#5-5-2,19
#5-a-1,15
#6-2-1,1
