Value,kk,en,Disaggregation combinations using this value,Number of indicators
другие национальности,басқа ұлттар,other nationalities,3,1
другие,басқа,Other,5,3
казахи,Қазақтар,Kazakh,8,4
русские,Орыстар,Russian,8,4
узбеки,Өзбектер,uzbeks,3,1
уйгуры,Ұйғырлар,uigurs,3,1
украинцы,Украиндар,ukranians,3,1
