Value,kk,en,Disaggregation combinations using this value,Number of indicators
Уровень производственного травматизма со смертельным исходом,Өлімге әкелетін өндірістік жарақаттың деңгейі,Fatal occupational injuries,1,1
Уровень производственного травматизма,Өндірістік жарақаттану деңгейі,Work injury rate,1,1
