Value,kk,en,Disaggregation combinations using this value,Number of indicators
"изнасилование, совершенное лицом, не являющимся партнером",жыныс серігі емес тұлғадан жасалған зорлық-зомбылық,Rape (crime committed by non-partner),1,1
любое сексуальное насилие,кез келген сексуалдық зорлық-зомбылық,any type of sexual violence,1,1
попытка изнасилования или иное сексуальное насилие,зорлау немесе басқа сексуалдық әрекет жасау,Rape attempt or other type of sexual violence,1,1
сексуальное насилие,сексуалдық зорлық,Sexual harassment,4,1
физическое насилие и/или сексуальное насилие,физикалық зорлық-зомбылық және / немесе сексуалдық зомбылық,Physical violence/sexual harassment,4,1
физическое насилие,физикалық қатыгездік,Physical violence,5,2
