Value,kk,en,Disaggregation combinations using this value,Number of indicators
базовыми источниками питьевой воды,базалық ауыз су көздерімен,sources of drinking water,1,1
доступом к Интернету для учебных целей,Оқу мақсаттары үшін Интернетке қол жетімділікпен,access to the internet for education purposes,51,1
наличие теплых и надворных туалетов,наличие теплых и надворных туалетов,наличие теплых и надворных туалетов,18,1
наличие только надворных туалетов,наличие только надворных туалетов,наличие только надворных туалетов,18,1
наличие только теплых туалетов,наличие только теплых туалетов,наличие только теплых туалетов,18,1
раздельными минимально оборудованными туалетами,ең қарапайым деңгейде бөлек дәретханалармен,separate restrooms which meet minimum standards,17,1
