Value,kk,en,Disaggregation combinations using this value,Number of indicators
i) грамотности в разбивке по полу,i) жынысы бойынша бөлінісінде сауаттылық,i) literacy (based on gender),35,1
"ii) навыков счета, в разбивке по полу (2 КЛАСС) Математика",iii) жынысы бойынша бөлінісінде есептеу машығына ие (2 сынып) Математика,ii) basic math skills (based on gender and 2nd grade),3,1
"ii) навыков счета, в разбивке по полу (3 КЛАСС) Матeматика",ii) жынысы бойынша бөлінісінде есептеу машығына ие (3 сынып) Математика,ii) basic math skills (based on gender and 3rd grade),3,1
"навыков счета, в разбивке по полу (PISA)",жынысы бойынша бөлінісінде есептеу машығына ие (PISA),math skills (based on gender and PISA),35,1
"навыков счета, в разбивке по полу (TIMSS)",жынысы бойынша бөлінісінде есептеу машығына ие (TIMSS),math skills (based on gender and TIMSS),35,1
навыков счета,есептеу машығы,math skills,3,1
