Value,kk,en,Disaggregation combinations using this value,Number of indicators
высшее,жоғары,Higher education,2,2
нет образования/Начальное,білім жоқ/бастауыш,No education/Elementary education,2,2
общее среднее,жалпы орта,High Education (General),2,2
основное среднее,негізгі орта,basic secondary (middle-school),2,2
техническое и профессиональное,техникалық және кәсіби,Community College and Vocational type of Education,2,2
