Value,kk,en,Disaggregation combinations using this value,Number of indicators
Данные по Казахстану как донору,Қазақстан бойынша деректер донор ретінде,Данные по Казахстану как донору,2,2
Данные по Казахстану как обязательства,Данные по Казахстану как обязательства,Данные по Казахстану как обязательства,1,1
Данные по Казахстану как получателю,Қазақстан бойынша деректер алушы ретінде,Данные по Казахстану как получателю,2,2
Казахстан-донор (валовый),Казахстан-донор (валовый),Казахстан-донор (валовый),1,1
Казахстан-донор (чистый),Казахстан-донор (чистый),Казахстан-донор (чистый),1,1
Казахстан-донор,Қазақстан-донор,Kazakhstan as donor,5,5
Казахстан-получатель (валовый),Казахстан-получатель (валовый),Казахстан-получатель (валовый),1,1
Казахстан-получатель (чистый),Казахстан-получатель (чистый),Казахстан-получатель (чистый),1,1
Казахстан-получатель,Қазақстан-алушы,Kazakhstan as beneficiary,6,6
