Value,kk,en,Disaggregation combinations using this value,Number of indicators
город,қала,Urban,212,12
городская местность,городская местность,городская местность,213,12
городское население,городское население,Population of urban areas,466,12
село,ауыл,Rural,184,12
сельская местность,сельская местность,сельская местность,184,12
сельское население,сельское население,Population of rural areas,406,12
