Value,kk,en,Disaggregation combinations using this value,Number of indicators
взвешенные частицы РМ-10,Қалқымалы бөлшектер РМ-10,suspended particles PM-10,49,1
"взвешенные частицы РМ-2,5","Қалқымалы бөлшектер РМ-2,5",PM2.5,8,1
