Value,kk,en,Disaggregation combinations using this value,Number of indicators
Стандарт GSM  (процент охвата населения сетью сотовой связи),GSM стандарты (халықтың ұялы байланыс жүйесімен қамту пайызы),GSM standard (percentage of coverage by cellular network),1,1
Стандарт UMTS (процент охвата населения сетью сотовой связи 3G),UMTS стандарты (халықтың 3G ұялы байланыс жүйесімен қамту пайызы),UMTS standard (percentage of coverage by 3G mobile network),1,1
