From,To
Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),Sex
Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),Area
Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),Regions
Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),Age
Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),Mother's education
Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),Wealth index quintile
Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),Nationality of the head of household
