Year,Value,Units,GeoCode
2012,1607.2,тыс.единиц,
2013,1976.0,тыс.единиц,
2014,2100.9,тыс.единиц,
2015,2305.6,тыс.единиц,
2016,2352.7,тыс.единиц,
2017,2576.0,тыс.единиц,
2018,2462.9,тыс.единиц,
