Year,Value,Units,GeoCode
2010,12317.8,тыс.га,
2011,12452.0,тыс.га,
2012,12548.6,тыс.га,
2013,12593.9,тыс.га,
2014,12627.0,тыс.га,
2015,12652.4,тыс.га,
2016,12706.8,тыс.га,
2017,12903.5,тыс.га,
2018,12933.1,тыс.га,
