Year,Value,Units,GeoCode
2010,109.1,процент,
2011,112.1,процент,
2012,102.8,процент,
2013,102.1,процент,
2014,103.8,процент,
2015,97.3,процент,
2016,99.0,процент,
2017,103.6,процент,
2018,104.7,процент,
