Year,Value,Units
2010,55.77,тонн/год
2011,25.41,тонн/год
2012,21.2,тонн/год
2013,10.6,тонн/год
2014,8.58,тонн/год
2015,14.34,тонн/год
2016,8.51,тонн/год
2017,7.0,тонн/год
