Year,Value,Units,GeoCode
2010,22.7,на 100 тыс.родившихся живыми,
2011,17.4,на 100 тыс.родившихся живыми,
2012,13.5,на 100 тыс.родившихся живыми,
2013,13.1,на 100 тыс.родившихся живыми,
2014,15.2,на 100 тыс.родившихся живыми,
2015,16.5,на 100 тыс.родившихся живыми,
2016,15.4,на 100 тыс.родившихся живыми,
2017,14.8,на 100 тыс.родившихся живыми,
2018,14.0,на 100 тыс.родившихся живыми,
