Year,Value,Units
2010,1.97,на 100 000 человек
2011,1.95,на 100 000 человек
2012,1.96,на 100 000 человек
2013,1.24,на 100 000 человек
2014,1.97,на 100 000 человек
2015,1.3,на 100 000 человек
2016,1.6,на 100 000 человек
2017,2.08,на 100 000 человек
2018,2.45,на 100 000 человек
