Year,Value,Units,GeoCode
2010,7.0,процент,
2011,6.5,процент,
2012,6.4,процент,
2013,6.4,процент,
2014,6.3,процент,
2015,6.6,процент,
2016,6.6,процент,
2017,6.8,процент,
2018,6.7,процент,
