Year,Value,Units
2010,1043.0,человек
2011,877.0,человек
2012,769.0,человек
2013,656.0,человек
2014,701.0,человек
2015,768.0,человек
2016,810.0,человек
2017,834.0,человек
2018,877.0,человек
