Year,Value,Units,GeoCode
2011,0.49,тнэ на тыс.долл. США в ценах  2010 года,
2012,0.44,тнэ на тыс.долл. США в ценах  2010 года,
2013,0.46,тнэ на тыс.долл. США в ценах  2010 года,
2014,0.42,тнэ на тыс.долл. США в ценах  2010 года,
2015,0.42,тнэ на тыс.долл. США в ценах  2010 года,
2016,0.42,тнэ на тыс.долл. США в ценах  2010 года,
2017,0.42,тнэ на тыс.долл. США в ценах  2010 года,
2018,0.42,тнэ на тыс.долл. США в ценах  2010 года,
