Year,Units,Value
2010,млн.долларов США,149.9
2011,млн.долларов США,189.5
2012,млн.долларов США,151.7
2013,млн.долларов США,135.0
2014,млн.долларов США,267.1
2015,млн.долларов США,286.9
2016,млн.долларов США,306.6
2017,млн.долларов США,169.8
