Year,Value,Units
2010,666.0,человек на 1 000 000 жителей
2011,694.0,человек на 1 000 000 жителей
2012,610.730445747399,человек на 1 000 000 жителей
2013,736.8326822438959,человек на 1 000 000 жителей
2014,799.3216215489273,человек на 1 000 000 жителей
2015,778.4364713375955,человек на 1 000 000 жителей
2016,695.1147447841428,человек на 1 000 000 жителей
2017,667.6820911846337,человек на 1 000 000 жителей
2018,668.4995534144155,человек на 1 000 000 жителей
2019,638.2072320279178,человек на 1 000 000 жителей
