Year,Value,Units
2010,4.7,процент к общей площади суши
2011,4.7,процент к общей площади суши
2012,4.7,процент к общей площади суши
2013,4.8,процент к общей площади суши
2014,4.8,процент к общей площади суши
2015,4.8,процент к общей площади суши
2016,4.8,процент к общей площади суши
2017,4.9,процент к общей площади суши
2018,4.9,процент к общей площади суши
2019,5.0,процент к общей площади суши
