Year,Value,Units
2011,102000.0,единиц
2012,137500.0,единиц
2013,187000.0,единиц
2014,256700.0,единиц
2015,295470.0,единиц
2016,108300.0,единиц
2017,152600.0,единиц
2018,215100.0,единиц
