Year,Units,Value
2010,100 000 халыққа,7.14
2011,100 000 халыққа,5.99
2012,100 000 халыққа,5.84
2013,100 000 халыққа,4.63
2014,100 000 халыққа,4.35
2015,100 000 халыққа,3.73
2016,100 000 халыққа,3.15
2017,100 000 халыққа,2.95
2018,100 000 халыққа,2.77
