Year,Units,Value
2010,100 000 халыққа,22.26
2011,100 000 халыққа,20.8
2012,100 000 халыққа,19.68
2013,100 000 халыққа,20.67
2014,100 000 халыққа,18.1
2015,100 000 халыққа,16.52
2016,100 000 халыққа,14.47
2017,100 000 халыққа,14.77
2018,100 000 халыққа,13.65
