Year,Units,Value
2010,пайыз,30.9
2011,пайыз,33.8
2012,пайыз,37.6
2013,пайыз,37.6
2014,пайыз,41.6
2015,пайыз,43.4
2016,пайыз,42.9
2017,пайыз,44.5
2018,пайыз,44.8
