Year,Units,Value
2010,пайыз,23.4
2011,пайыз,25.0
2012,пайыз,27.8
2013,пайыз,27.4
2014,пайыз,32.4
2015,пайыз,32.5
2016,пайыз,34.6
2017,пайыз,36.6
2018,пайыз,40.0
