Year,Value,Units
2010,1378.0,саны
2011,2539.0,саны
2012,1300.0,саны
2013,1291.0,саны
2014,1361.0,саны
2015,1340.0,саны
2016,1304.0,саны
2017,1474.0,саны
2018,1468.0,саны
