Year,Value,Units,GeoCode
2010,22.7,100 мың тірі туылғанға,
2011,17.4,100 мың тірі туылғанға,
2012,13.5,100 мың тірі туылғанға,
2013,13.1,100 мың тірі туылғанға,
2014,15.2,100 мың тірі туылғанға,
2015,16.5,100 мың тірі туылғанға,
2016,15.4,100 мың тірі туылғанға,
2017,14.8,100 мың тірі туылғанға,
2018,14.0,100 мың тірі туылғанға,
