Year,Value,Units
2010,1043.0,адам
2011,877.0,адам
2012,769.0,адам
2013,656.0,адам
2014,701.0,адам
2015,768.0,адам
2016,810.0,адам
2017,834.0,адам
2018,877.0,адам
